engine,base,wins,team_Chief,team_points,chassis,championship_count,team_Name,tech_Chief,team_ID
NMV5P,Pakistan,1,Barney Daniells,724,1,5,DynCorp,Barney Daniells,1
Fxbwp,Vatican City,17,Paige Wright,211,2,2,Apple Inc.,Paige Wright,2
0Yqae,Chad,18,Bryon Dempsey,354,3,18,Carrefour,Bryon Dempsey,3
9YtH7,Belize,14,Jolene Townend,602,4,14,Demaco,Jolene Townend,4
SQkG5,Albania,12,Jacob Emerson,543,5,8,UPC,Jacob Emerson,5
H7gOV,Tunisia,15,Miley Stewart,332,6,12,CarMax,Miley Stewart,6
lr6Nn,Malta,18,Sebastian Thomson,479,7,14,Mars,Sebastian Thomson,7
teNfs,Angola,13,Angelica Simmons,550,8,8,Comcast,Angelica Simmons,8
L1K60,Syria,2,Martin Walker,707,9,8,21st Century Fox,Martin Walker,9
bnKRV,Peru,11,Alexander Irwin,175,10,17,Boeing,Alexander Irwin,10
UWuMA,Netherlands,18,Alan Lucas,785,11,1,BuzzFeed,Alan Lucas,11
wm2Il,Peru,5,Carol Reid,793,12,7,It Smart Group,Carol Reid,12
n2jYo,United Kingdom,2,Leah Jeffery,605,13,17,Comcast,Leah Jeffery,13
4Zypo,Saudi Arabia,8,Cameron Nielson,713,14,19,Telekom,Cameron Nielson,14
FjBcW,Armenia,1,Angel Needham,764,15,13,Comcast,Angel Needham,15
wwlJ1,Bahrain,16,Lauren Norris,672,16,17,Team Guard SRL,Lauren Norris,16
Sutn9,Kosovo,16,Andie Ianson,428,17,2,Team Guard SRL,Andie Ianson,17
eULBc,Guatemala,6,Johnny Mills,488,18,19,Boeing,Johnny Mills,18
732Ot,Guinea-Bissau,5,Sabrina Rivers,246,19,18,21st Century Fox,Sabrina Rivers,19
DmSiO,China,21,Peter Mccormick,338,20,10,DynCorp,Peter Mccormick,20
s4A9I,Nauru,17,Nancy Weston,690,21,3,CarMax,Nancy Weston,21
73WaB,Guyana,17,Aiden Anderson,530,22,0,Mars,Aiden Anderson,22
f0ibc,Suriname,8,Denny Poole,290,23,0,Carrefour,Denny Poole,23
NbAYv,Iceland,12,Chad Kent,67,24,2,Carrefour,Chad Kent,24
SC2nO,Kuwait,5,Abdul Donovan,763,25,7,Vodafone,Abdul Donovan,25
